"amount","closedate","description","name","StageName","accountId"
"119373.34","2020-12-22T21:16:01Z","Description","Cape starling","Id. Decision Makers","@AccountRef32"
"15065.74","2021-01-19T00:30:44Z","-1E02","Pelican, great white","Negotiation/Review","@AccountRef35"
"456811.38","2020-12-26T05:48:21Z","⁰⁴⁵","Bushbuck","Negotiation/Review","@AccountRef9"
"620786.70","2021-06-06T17:33:25Z","Description","Crow, pied","Negotiation/Review","@AccountRef45"
"913401.77","2021-05-21T07:55:11Z","사회과학원 어학연구소","Duck, blue","Qualification","@AccountRef21"
"939763.93","2021-03-24T22:07:49Z","部落格","Iguana, marine","Id. Decision Makers","@AccountRef48"
"436355.85","2021-01-24T01:49:16Z","0.00","Stork, white-necked","Assigned dynamically","@AccountRef3"
"653987.06","2021-02-14T05:26:57Z","<img src=x onerror=alert('hi') />","Marine iguana","Perception Analysis","@AccountRef29"
"302336.99","2021-06-21T06:40:28Z","🐵 🙈 🙉 🙊","Malagasy ground boa","Needs Analysis","@AccountRef39"
"858378.07","2021-05-21T18:08:32Z","1E02","Tiger snake","Proposal/Price Quote","@AccountRef2"
"843044.83","2020-11-06T17:41:25Z","Description","Alligator, american","Value Proposition","@AccountRef27"
"440239.40","2021-04-14T01:12:37Z","../../../../../../../../../../../etc/passwd%00","Stork, painted","Id. Decision Makers","@AccountRef18"
"513643.41","2021-05-18T07:39:55Z","᠎","Flycatcher, tyrant","Perception Analysis","@AccountRef2"
"51164.66","2021-02-04T07:06:47Z","(╯°□°）╯︵ ┻━┻)  ","Australian masked owl","Id. Decision Makers","@AccountRef19"
"963748.99","2021-01-09T22:29:57Z","␡","Booby, blue-faced","Proposal/Price Quote","@AccountRef33"
"607109.71","2021-01-21T23:28:31Z","Description","Lizard, mexican beaded","Closed Lost","@AccountRef27"
"310190.00","2020-11-15T11:53:25Z","ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ","Caribou","Id. Decision Makers","@AccountRef1"
"399514.09","2021-05-20T09:48:14Z","​","Cobra, cape","Value Proposition","@AccountRef30"
"278715.65","2021-04-16T11:03:45Z","😍","Chameleon (unidentified)","Id. Decision Makers","@AccountRef38"
"620440.88","2020-12-02T09:21:16Z","../../../../../../../../../../../etc/hosts","Paradoxure","Closed/Won","@AccountRef18"
